country,iso3c,year,month,breakdown,escalation_nonlethal,escalation_nonviolent,repression_up,external,deescalation,repression_down,protest
Angola,AGO,1995,1,0,2,0,0,0,0,0,0
Angola,AGO,1995,2,0,0,1,0,0,0,0,0
Angola,AGO,1995,3,0,0,0,0,1,0,0,0
Angola,AGO,1995,4,0,0,0,0,0,0,0,0
Angola,AGO,1995,5,1,3,0,0,2,0,8,0
Angola,AGO,1995,6,2,6,0,0,1,2,2,0
Angola,AGO,1995,7,1,11,1,1,2,4,4,0
Angola,AGO,1995,8,0,25,3,0,2,2,6,0
Angola,AGO,1995,9,0,12,0,1,0,8,0,0
Angola,AGO,1995,10,0,4,0,1,0,0,1,0
Angola,AGO,1995,11,0,5,1,0,1,2,12,0
Angola,AGO,1995,12,1,20,3,0,2,8,9,0
United Arab Emirates,ARE,1995,1,0,0,0,0,0,0,0,0
United Arab Emirates,ARE,1995,2,0,0,0,0,0,0,0,0
United Arab Emirates,ARE,1995,3,0,0,0,0,0,0,0,0
United Arab Emirates,ARE,1995,4,0,0,0,0,0,0,0,0
United Arab Emirates,ARE,1995,5,0,0,0,0,0,0,0,0
United Arab Emirates,ARE,1995,6,0,0,0,2,0,0,0,0
United Arab Emirates,ARE,1995,7,0,0,0,2,7,0,0,0
United Arab Emirates,ARE,1995,8,0,1,0,1,0,0,0,0
United Arab Emirates,ARE,1995,9,0,1,1,4,0,0,2,0
United Arab Emirates,ARE,1995,10,0,2,0,1,1,0,0,0
United Arab Emirates,ARE,1995,11,0,0,0,3,0,0,0,0
United Arab Emirates,ARE,1995,12,0,0,0,0,0,0,0,0
Burundi,BDI,1995,1,0,1,0,0,0,0,0,0
Burundi,BDI,1995,2,0,1,0,0,0,0,0,0
Burundi,BDI,1995,3,0,2,0,0,2,0,0,0
Burundi,BDI,1995,4,0,8,0,0,0,0,0,0
Burundi,BDI,1995,5,0,1,0,0,0,0,2,1
Burundi,BDI,1995,6,1,53,1,1,1,0,0,0
Burundi,BDI,1995,7,0,29,0,1,0,0,0,0
Burundi,BDI,1995,8,0,8,1,0,0,0,0,0
Burundi,BDI,1995,9,0,11,0,0,0,0,0,0
Burundi,BDI,1995,10,1,8,0,0,0,0,0,0
Burundi,BDI,1995,11,0,10,2,0,0,0,0,0
Burundi,BDI,1995,12,0,19,1,0,0,0,0,0
