year,variable,n_events
1995,deescalation,272
1995,breakdown,292
1995,protest,183
1995,repression_up,877
1995,repression_down,545
1995,escalation_nonviolent,232
1995,escalation_nonlethal,2148
1995,external,668
1996,deescalation,537
1996,breakdown,462
1996,protest,220
1996,repression_up,1195
1996,repression_down,993
1996,escalation_nonviolent,337
1996,escalation_nonlethal,3220
1996,external,1040
1997,deescalation,376
1997,breakdown,434
1997,protest,246
1997,repression_up,1104
1997,repression_down,775
1997,escalation_nonviolent,313
1997,escalation_nonlethal,2868
1997,external,948
1998,deescalation,602
1998,breakdown,494
1998,protest,317
1998,repression_up,1461
1998,repression_down,1178
1998,escalation_nonviolent,356
1998,escalation_nonlethal,3371
1998,external,1779
1999,deescalation,1171
1999,breakdown,812
1999,protest,326
1999,repression_up,2689
1999,repression_down,1727
1999,escalation_nonviolent,574
1999,escalation_nonlethal,5456
1999,external,2872
2000,deescalation,1017
2000,breakdown,709
2000,protest,587
2000,repression_up,3920
2000,repression_down,1871
2000,escalation_nonviolent,710
2000,escalation_nonlethal,5610
2000,external,3217
2001,deescalation,1163
2001,breakdown,1009
2001,protest,709
2001,repression_up,4046
2001,repression_down,2286
2001,escalation_nonviolent,822
2001,escalation_nonlethal,5911
2001,external,3137
2002,deescalation,1546
2002,breakdown,1287
2002,protest,524
2002,repression_up,2507
2002,repression_down,2480
2002,escalation_nonviolent,1044
2002,escalation_nonlethal,5629
2002,external,3508
2003,deescalation,1719
2003,breakdown,1213
2003,protest,628
2003,repression_up,3301
2003,repression_down,2647
2003,escalation_nonviolent,1135
2003,escalation_nonlethal,6640
2003,external,4399
2004,deescalation,2130
2004,breakdown,1528
2004,protest,1010
2004,repression_up,5839
2004,repression_down,3574
2004,escalation_nonviolent,1870
2004,escalation_nonlethal,13099
2004,external,4911
2005,deescalation,1946
2005,breakdown,1906
2005,protest,1547
2005,repression_up,7109
2005,repression_down,3492
2005,escalation_nonviolent,1636
2005,escalation_nonlethal,13684
2005,external,4275
2006,deescalation,2226
2006,breakdown,2037
2006,protest,1186
2006,repression_up,7264
2006,repression_down,3963
2006,escalation_nonviolent,2022
2006,escalation_nonlethal,15327
2006,external,5080
2007,deescalation,2467
2007,breakdown,2015
2007,protest,942
2007,repression_up,8353
2007,repression_down,4032
2007,escalation_nonviolent,1749
2007,escalation_nonlethal,14392
2007,external,5606
2008,deescalation,3167
2008,breakdown,2121
2008,protest,1094
2008,repression_up,8337
2008,repression_down,3923
2008,escalation_nonviolent,2045
2008,escalation_nonlethal,14028
2008,external,5097
2009,deescalation,2070
2009,breakdown,1606
2009,protest,1127
2009,repression_up,7479
2009,repression_down,3292
2009,escalation_nonviolent,1578
2009,escalation_nonlethal,11025
2009,external,3795
2010,deescalation,1719
2010,breakdown,1493
2010,protest,1056
2010,repression_up,7581
2010,repression_down,2848
2010,escalation_nonviolent,1560
2010,escalation_nonlethal,11047
2010,external,4270
2011,deescalation,2006
2011,breakdown,2126
2011,protest,6471
2011,repression_up,10116
2011,repression_down,3493
2011,escalation_nonviolent,2294
2011,escalation_nonlethal,20118
2011,external,3724
2012,deescalation,2112
2012,breakdown,2073
2012,protest,3615
2012,repression_up,9677
2012,repression_down,3355
2012,escalation_nonviolent,2111
2012,escalation_nonlethal,22670
2012,external,3897
2013,deescalation,2105
2013,breakdown,2300
2013,protest,4669
2013,repression_up,11317
2013,repression_down,4046
2013,escalation_nonviolent,2429
2013,escalation_nonlethal,23442
2013,external,4760
2014,deescalation,3063
2014,breakdown,2854
2014,protest,3396
2014,repression_up,12119
2014,repression_down,4381
2014,escalation_nonviolent,3108
2014,escalation_nonlethal,30588
2014,external,5002
2015,deescalation,2795
2015,breakdown,2680
2015,protest,2853
2015,repression_up,12863
2015,repression_down,4692
2015,escalation_nonviolent,3053
2015,escalation_nonlethal,33054
2015,external,6746
2016,deescalation,1440
2016,breakdown,1582
2016,protest,1874
2016,repression_up,9725
2016,repression_down,2762
2016,escalation_nonviolent,2025
2016,escalation_nonlethal,21967
2016,external,4759
2017,deescalation,1286
2017,breakdown,1160
2017,protest,1246
2017,repression_up,6351
2017,repression_down,2053
2017,escalation_nonviolent,1366
2017,escalation_nonlethal,15135
2017,external,5096
2018,deescalation,1552
2018,breakdown,1148
2018,protest,1279
2018,repression_up,6217
2018,repression_down,2347
2018,escalation_nonviolent,1289
2018,escalation_nonlethal,11710
2018,external,3849
2019,deescalation,1237
2019,breakdown,1293
2019,protest,2819
2019,repression_up,5866
2019,repression_down,2019
2019,escalation_nonviolent,1039
2019,escalation_nonlethal,9980
2019,external,3761
2020,deescalation,1003
2020,breakdown,917
2020,protest,1835
2020,repression_up,5113
2020,repression_down,989
2020,escalation_nonviolent,901
2020,escalation_nonlethal,7910
2020,external,3701
2021,deescalation,1585
2021,breakdown,1093
2021,protest,1682
2021,repression_up,6752
2021,repression_down,1337
2021,escalation_nonviolent,1021
2021,escalation_nonlethal,10640
2021,external,3880
2022,deescalation,1190
2022,breakdown,893
2022,protest,1321
2022,repression_up,4703
2022,repression_down,1117
2022,escalation_nonviolent,816
2022,escalation_nonlethal,7654
2022,external,4014
2023,deescalation,269
2023,breakdown,208
2023,protest,494
2023,repression_up,1173
2023,repression_down,451
2023,escalation_nonviolent,186
2023,escalation_nonlethal,1505
2023,external,1036
